date,sigma,phi_seg_min,phi_seg_max,fwd_roughness,min_fwd,loc5y,inverted
2006-01-08,2.7663586829566658,0.009998251031031004,0.9134227791175354,0.00014557234958499277,0.04162437248153443,0.9621874610088543,False
2006-01-15,3.9247034025164886,0.0029901267529776625,0.7833858367901306,0.00011509237996977715,0.04168951656767472,0.8400502586041889,False
2006-01-22,4.768277241415367,0.0042619751404798034,0.8384013548376106,0.0002767874926573898,0.042021986695023106,0.7978082259877101,False
2006-01-29,4.472014749482598,0.0028348824698929843,0.8195837956869415,0.00013947042823496506,0.04331964608103345,0.8102616380427462,False
2006-02-05,2.8723204053189697,0.007762184751805537,0.9061876322305209,9.989289118915849e-05,0.04397863675670077,0.9451706416513213,False
2006-02-12,2.705331122953278,0.016111668036623304,0.91637519015238,0.0001515973522002595,0.03898345576921379,0.9728392921541289,False
2006-02-19,2.7545475470672915,0.016499079360527677,0.9130571393314183,0.00013256208903295402,0.03889308043845235,0.9641978092831568,False
2006-02-26,2.837969714222128,0.012872530684079939,0.913415690042916,0.0001026570053545409,0.03932656298505191,0.9504938177813825,False
2006-03-05,3.0488633622372694,0.00750878679479536,0.9022526662157938,0.00010775887119232372,0.041028998132669345,0.9203989890036257,False
2006-03-12,2.749490226565367,0.017318845185828578,0.9106966024039407,0.00014614234974444463,0.04149815279636186,0.9650659641376297,False
2006-03-19,2.891670415471655,0.007938848325314874,0.8805030783523669,0.00013102394923116708,0.041898912962417253,0.9422492511748155,False
2006-03-26,7.329688662612078,0.0072207187650447585,0.9000518473804625,0.00021122493536873658,0.041826431435897,0.7400655235904602,False
2006-04-02,7.595775805650886,0.005976208675520212,0.8777064518932234,0.0002818400241039355,0.04382724945879377,0.7367497044472904,False
2006-04-09,4.7669534681686265,0.0015717832879990055,0.8143896320752343,0.0001826280081959648,0.04547768965512392,0.7978593953793016,False
2006-04-16,3.0484396748821156,0.0027827425552569346,0.8986927779719763,0.0002524275747555192,0.04579940385039513,0.9204537078489694,False
2006-04-23,2.8133349620917896,0.00219967195961464,0.9121268521325891,0.00012808096813405684,0.046287071408560906,0.9544231438841871,False
2006-04-30,2.916951906294904,0.0001655503223451587,0.9020012321656892,0.0001197909694679034,0.047129820351246125,0.9385132952644828,False
2006-05-07,3.0729800654925965,0.002817682487869849,0.889659354524005,0.0001623161024675409,0.04731201083700378,0.9173187442210785,False
2006-05-14,3.1650221958320426,0.0005819086889507053,0.8954083068106241,0.0001429407407834827,0.04781964778183036,0.9061552981602974,False
